
   DEPT[M]  ROLL_(ATV)  TILT_(ATV)  AZIMUTH_(A
     15.9669     245.300     38.8667     359.100
     15.9769     245.000     38.9000     359.100
     15.9869     246.100     38.8000     359.200
     15.9969     247.200     38.7000     359.300
     16.0069     248.600     38.6667     359.467
     16.0169     250.000     38.6333     359.633
     16.0269     251.400     38.6000     359.800
     16.0369     252.550     38.7500     359.600
     16.0469     253.700     38.9000     359.400
     16.0569     254.133     38.8000     359.567
     16.0669     254.567     38.7000     359.733
     16.0769     255.000     38.6000     359.900
     16.0869     255.350     38.6000     359.750
     16.0969     255.700     38.6000     359.600
     16.1069     255.433     38.6333     359.533
     16.1169     255.167     38.6667     359.467
     16.1269     254.900     38.7000     359.400
     16.1369     254.133     38.9000     359.400
     16.1469     253.367     39.1000     359.400
     16.1569     252.600     39.3000     359.400
     16.1669     251.700     39.1000     359.233
     16.1769     250.800     38.9000     359.067
     16.1869     249.900     38.7000     358.900
     16.1969     249.400     38.7000     358.900
     16.2069     248.900     38.7000     358.900
     16.2169     249.333     38.8667     359.067
     16.2269     249.767     39.0333     359.233
     16.2369     250.200     39.2000     359.400
     16.2469     250.567     39.2000     359.467
     16.2569     250.933     39.2000     359.533
     16.2669     251.300     39.2000     359.600
     16.2769     251.650     39.1500     359.450
     16.2869     252.000     39.1000     359.300
     16.2969     252.033     39.0333     359.200
     16.3069     252.067     38.9667     359.100
     16.3169     252.100     38.9000     359.000
     16.3269     252.267     38.9000     359.000
     16.3369     252.433     38.9000     359.000
     16.3469     252.600     38.9000     359.000
     16.3569     252.550     38.8500     359.100
     16.3669     252.500     38.8000     359.200
     16.3769     251.967     38.8333     359.133
     16.3869     251.433     38.8667     359.067
     16.3969     250.900     38.9000     359.000
     16.4069     250.233     38.8667     358.867
     16.4169     249.567     38.8333     358.733
     16.4269     248.900     38.8000     358.600
     16.4369     248.350     38.9000     358.700
     16.4469     247.800     39.0000     358.800
     16.4569     247.433     38.9667     358.667
     16.4669     247.067     38.9333     358.533
     16.4769     246.700     38.9000     358.400
     16.4869     247.050     38.8500     358.450
     16.4969     247.400     38.8000     358.500
     16.5069     248.000     38.8333     358.733
     16.5169     248.600     38.8667     358.967
     16.5269     249.200     38.9000     359.200
     16.5369     249.200     38.8333     359.167
     16.5469     249.200     38.7667     359.133
     16.5569     249.200     38.7000     359.100
     16.5669     249.000     38.7500     359.100
     16.5769     248.800     38.8000     359.100
     16.5869     248.767     38.7333     359.133
     16.5969     248.733     38.6667     359.167
     16.6069     248.700     38.6000     359.200
     16.6169     248.600     38.6667     359.067
     16.6269     248.500     38.7333     358.933
     16.6369     248.400     38.8000     358.800
     16.6469     248.450     38.6500     358.800
     16.6569     248.500     38.5000     358.800
     16.6669     248.833     38.5000     358.967
     16.6769     249.167     38.5000     359.133
     16.6869     249.500     38.5000     359.300
     16.6969     249.850     38.5500     359.200
     16.7069     250.200     38.6000     359.100
     16.7169     249.800     38.4500     359.300
     16.7269     249.400     38.3000     359.500
     16.7369     248.800     38.4333     359.467
     16.7469     248.200     38.5667     359.433
     16.7569     247.600     38.7000     359.400
     16.7669     246.967     38.8000     359.133
     16.7769     246.333     38.9000     358.867
     16.7869     245.700     39.0000     358.600
     16.7969     245.300     38.8667     358.733
     16.8069     244.900     38.7333     358.867
     16.8169     244.500     38.6000     359.000
     16.8269     244.200     38.4000     359.300
     16.8369     243.900     38.2000     359.600
     16.8469     243.067     38.4000     359.367
     16.8569     242.233     38.6000     359.133
     16.8669     241.400     38.8000     358.900
     16.8769     240.467     38.7000     358.767
     16.8869     239.533     38.6000     358.633
     16.8969     238.600     38.5000     358.500
     16.9069     238.650     38.4500     358.650
     16.9169     238.700     38.4000     358.800
     16.9269     238.933     38.4333     358.767
     16.9369     239.167     38.4667     358.733
     16.9469     239.400     38.5000     358.700
     16.9569     239.400     38.4500     358.500
     16.9669     239.400     38.4000     358.300
     16.9769     238.867     38.4667     358.200
     16.9869     238.333     38.5333     358.100
     16.9969     237.800     38.6000     358.000
     17.0069     237.133     38.5333     358.133
     17.0169     236.467     38.4667     358.267
     17.0269     235.800     38.4000     358.400
     17.0369     235.067     38.4000     357.633
     17.0469     234.333     38.4000     356.867
     17.0569     233.600     38.4000     356.100
     17.0669     234.050     38.5000     357.500
     17.0769     234.500     38.6000     358.900
     17.0869     233.667     38.5000     359.167
     17.0969     232.833     38.4000     359.433
     17.1069     232.000     38.3000     359.700
     17.1169     230.833     38.4000     358.900
     17.1269     229.667     38.5000     358.100
     17.1369     228.500     38.6000     357.300
     17.1469     228.900     38.4500     357.950
     17.1569     229.300     38.3000     358.600
     17.1669     229.333     38.3333     358.767
     17.1769     229.367     38.3667     358.933
     17.1869     229.400     38.4000     359.100
     17.1969     229.450     38.4500     358.800
     17.2069     229.500     38.5000     358.500
     17.2169     229.867     38.4333     358.733
     17.2269     230.233     38.3667     358.967
     17.2369     230.600     38.3000     359.200
     17.2469     230.933     38.2333     359.067
     17.2569     231.267     38.1667     358.933
     17.2669     231.600     38.1000     358.800
     17.2769     232.850     38.1500     358.500
     17.2869     234.100     38.2000     358.200
     17.2969     235.600     38.2500     358.600
     17.3069     237.100     38.3000     359.000
     17.3169     237.800     38.3667     359.067
     17.3269     238.500     38.4333     359.133
     17.3369     239.200     38.5000     359.200
     17.3469     239.500     38.5667     359.200
     17.3569     239.800     38.6333     359.200
     17.3669     240.100     38.7000     359.200
     17.3769     241.000     38.5500     359.450
     17.3869     241.900     38.4000     359.700
     17.3969     242.933     38.4000     359.700
     17.4069     243.967     38.4000     359.700
     17.4169     245.000     38.4000     359.700
     17.4269     245.533     38.6000     359.633
     17.4369     246.067     38.8000     359.567
     17.4469     246.600     39.0000     359.500
     17.4569     246.900     38.8000     359.500
     17.4669     247.200     38.6000     359.500
     17.4769     247.667     38.5000     359.433
     17.4869     248.133     38.4000     359.367
     17.4969     248.600     38.3000     359.300
     17.5069     249.150     38.6500     359.450
     17.5169     249.700     39.0000     359.600
     17.5269     249.733     38.8000     359.500
     17.5369     249.767     38.6000     359.400
     17.5469     249.800     38.4000     359.300
     17.5569     250.150     38.5500     359.650
     17.5669     250.500     38.7000     0.00000
     17.5769     250.467     38.8333     359.900
     17.5869     250.433     38.9667     359.800
     17.5969     250.400     39.1000     359.700
     17.6069     250.600     38.9000     359.533
     17.6169     250.800     38.7000     359.367
     17.6269     251.000     38.5000     359.200
     17.6369     250.867     38.4000     359.233
     17.6469     250.733     38.3000     359.267
     17.6569     250.600     38.2000     359.300
     17.6669     250.100     38.3500     359.300
     17.6769     249.600     38.5000     359.300
     17.6869     249.767     38.5667     359.267
     17.6969     249.933     38.6333     359.233
     17.7069     250.100     38.7000     359.200
     17.7169     250.250     38.7000     359.400
     17.7269     250.400     38.7000     359.600
     17.7369     250.233     38.6667     359.633
     17.7469     250.067     38.6333     359.667
     17.7569     249.900     38.6000     359.700
     17.7669     249.600     38.6000     359.533
     17.7769     249.300     38.6000     359.367
     17.7869     249.000     38.6000     359.200
     17.7969     249.750     38.8500     359.250
     17.8069     250.500     39.1000     359.300
     17.8169     250.933     38.9667     359.433
     17.8269     251.367     38.8333     359.567
     17.8369     251.800     38.7000     359.700
     17.8469     251.267     38.5333     359.433
     17.8569     250.733     38.3667     359.167
     17.8669     250.200     38.2000     358.900
     17.8769     250.050     38.5000     359.150
     17.8869     249.900     38.8000     359.400
     17.8969     249.567     38.7000     359.400
     17.9069     249.233     38.6000     359.400
     17.9169     248.900     38.5000     359.400
     17.9269     248.567     38.5000     359.533
     17.9369     248.233     38.5000     359.667
     17.9469     247.900     38.5000     359.800
     17.9569     247.700     38.5500    0.000009
     17.9669     247.500     38.6000    0.200000
     17.9769     247.033     38.5667     359.933
     17.9869     246.567     38.5333     359.667
     17.9969     246.100     38.5000     359.400
     18.0069     245.533     38.5000     359.433
     18.0169     244.967     38.5000     359.467
     18.0269     244.400     38.5000     359.500
     18.0369     243.600     38.4500     359.600
     18.0469     242.800     38.4000     359.700
     18.0569     242.367     38.4333     359.767
     18.0669     241.933     38.4667     359.833
     18.0769     241.500     38.5000     359.900
     18.0869     241.633     38.4667   0.0666626
     18.0969     241.767     38.4333    0.233331
     18.1069     241.900     38.4000    0.400000
     18.1169     242.600     38.7000     359.750
     18.1269     243.300     39.0000     359.100
     18.1369     243.200     38.9000     359.500
     18.1469     243.100     38.8000     359.900
     18.1569     242.433     38.5667    0.233329
     18.1669     241.767     38.3333    0.566665
     18.1769     241.100     38.1000    0.900000
     18.1869     240.867     38.5333    0.766667
     18.1969     240.633     38.9667    0.633333
     18.2069     240.400     39.4000    0.500000
     18.2169     239.650     39.2000    0.150009
     18.2269     238.900     39.0000     359.800
     18.2369     238.267     38.6667     359.933
     18.2469     237.633     38.3333   0.0666728
     18.2569     237.000     38.0000    0.200000
     18.2669     236.850     38.6000     359.950
     18.2769     236.700     39.2000     359.700
     18.2869     235.833     39.0667     359.300
     18.2969     234.967     38.9333     358.900
     18.3069     234.100     38.8000     358.500
     18.3169     232.700     38.8000     359.150
     18.3269     231.300     38.8000     359.800
     18.3369     230.667     38.8333     359.533
     18.3469     230.033     38.8667     359.267
     18.3569     229.400     38.9000     359.000
     18.3669     228.933     38.6333     358.800
     18.3769     228.467     38.3667     358.600
     18.3869     228.000     38.1000     358.400
     18.3969     228.633     38.3667     358.600
     18.4069     229.267     38.6333     358.800
     18.4169     229.900     38.9000     359.000
     18.4269     231.650     38.7000     359.250
     18.4369     233.400     38.5000     359.500
     18.4469     233.400     38.3667     359.233
     18.4569     233.400     38.2333     358.967
     18.4669     233.400     38.1000     358.700
     18.4769     233.333     38.2667     358.667
     18.4869     233.267     38.4333     358.633
     18.4969     233.200     38.6000     358.600
     18.5069     233.800     38.6500     358.700
     18.5169     234.400     38.7000     358.800
     18.5269     234.733     38.6333     358.600
     18.5369     235.067     38.5667     358.400
     18.5469     235.400     38.5000     358.200
     18.5569     236.350     38.5500     358.350
     18.5669     237.300     38.6000     358.500
     18.5769     237.767     38.6667     358.667
     18.5869     238.233     38.7333     358.833
     18.5969     238.700     38.8000     359.000
     18.6069     238.433     38.8667     358.833
     18.6169     238.167     38.9333     358.667
     18.6269     237.900     39.0000     358.500
     18.6369     237.650     38.8000     358.400
     18.6469     237.400     38.6000     358.300
     18.6569     237.300     38.6333     358.533
     18.6669     237.200     38.6667     358.767
     18.6769     237.100     38.7000     359.000
